SYS_Time,EXCH,INSTRUMENT,EXPIRY,OPTION,STRIKE,tradedDate,time,underlyingValue,lastPrice,buyPrice1,sellPrice1,buyQuantity1,sellQuantity1,totalBuyQuantity,totalSellQuantity,openInterest,marketLot,tradedVolume,tradedValue,change,pChange,strikePrice,expiryDate,optionType,closePrice,openPrice,lowPrice,highPrice
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,PE,23500,29SEP2017,15:30:29,24053.00,84.00,73.20,89.70,80,120,8680,1480,8840,40,,,change,-56.28,23500.00,12OCT2017,PE,79.50,61.75,50.00,84.00 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,PE,23900,29SEP2017,15:30:29,24053.00,180.00,136.50,-,40,-,8360,-,160,40,,,change,-41.83,23900.00,12OCT2017,PE,183.80,150.00,120.00,185.05 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,CE,24000,29SEP2017,15:30:29,24053.00,250.00,228.00,252.00,80,40,15960,200,3600,40,,,change,-2.50,24000.00,12OCT2017,CE,230.00,261.00,200.00,480.50 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,PE,24000,29SEP2017,15:30:29,24053.00,224.60,200.90,-,320,-,9000,-,2040,40,,,change,-27.56,24000.00,12OCT2017,PE,206.55,157.10,97.50,225.45 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,PE,24100,29SEP2017,15:30:29,24053.00,56.00,87.70,267.60,80,40,6200,80,40,40,,,change,-,24100.00,12OCT2017,PE,56.00,-,-,- 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,CE,24200,29SEP2017,15:30:29,24053.00,171.80,136.00,227.65,80,80,8360,400,120,40,,,change,-75.60,24200.00,12OCT2017,CE,155.60,210.00,120.50,210.00 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,CE,24500,29SEP2017,15:30:29,24053.00,59.00,59.00,64.75,160,80,10440,2640,31480,40,,,change,-15.17,24500.00,12OCT2017,CE,62.10,85.00,51.45,120.00 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,CE,24600,29SEP2017,15:30:29,24053.00,100.70,11.00,-,80,-,7240,-,40,40,,,change,-79.92,24600.00,12OCT2017,CE,100.70,100.70,100.70,100.70 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,CE,24700,29SEP2017,15:30:29,24053.00,45.00,5.10,35.00,40,40,8080,280,40,40,,,change,-90.17,24700.00,12OCT2017,CE,45.00,52.00,45.00,52.00 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,CE,25000,29SEP2017,15:30:29,24053.00,14.95,12.50,16.00,40,80,20840,12120,20400,40,,,change,-15.06,25000.00,12OCT2017,CE,13.05,24.15,10.50,26.60 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,CE,25100,29SEP2017,15:30:29,24053.00,21.30,3.00,19.70,40,2000,6440,4840,40,40,,,change,-93.13,25100.00,12OCT2017,CE,21.30,27.95,21.30,27.95 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,12OCT2017,CE,25500,29SEP2017,15:30:29,24053.00,16.00,2.05,7.80,2000,1800,17080,10880,4000,40,,,change,-92.05,25500.00,12OCT2017,CE,16.00,16.00,16.00,16.00 
Mon Oct  2 09:29:57 IST 2017,BANKNIFTY,OPTIDX,26OCT2017,CE,22500,29SEP2017,15:30:29,24053.00,1611.00,1575.00,1625.35,40,200,2160,1280,37480,40,,,change,5.19,22500.00,26OCT2017,CE,1601.70,1719.45,1593.85,1728.75 
